,Name,Laptop ID,Price,Date
85,"Lenovo Ideapad Slim 3 AMD Ryzen 3 15.6 inch FHD Thin and Light Laptop (4GB/1TB/Windows 10/MS Office/Grey/1.85Kg), 81W10052IN",B087D454KV,33990,13/11
86,VOSTRO 3405 14inch HD AG Laptop (Ryzen-3 3250U / 4 GB / 1TB / Vega Graphics / 1 Yr NBD / Win 10 + MS Office H&S 2019) D552134WIN9BE,B08HQY7WH4,33320,13/11
87,"HP Chromebook x360 14c-ca0005TU 14-inch Laptop (10th Gen i3-10110U/8GB/128GB SSD/Chrome OS/Integrated Graphics), Mineral Silver",B08C5WLK3Q,49990,13/11
88,"Microsoft Surface GO 2 STQ-00013 10.1-inch Laptop (Gold Processor 4425Y/8GB/128GB SSD/Windows 10 Home in S Mode/Intel UHD 615 Graphics), Platinum",B08DHHB2W1,55990,13/11
89,"Lenovo V14 Intel Core i3 10th Gen 14-inch HD Thin and Light Laptop (4GB RAM/ 1TB HDD/ Windows 10 Home/ Grey/ 1.6 kg), 82C4016SIH",B08BXZXVV5,31700,13/11
90,"HP Pavilion Gaming 15.6-inch FHD Gaming Laptop (Ryzen 5-3550H/8GB/1TB HDD/Windows 10/NVIDIA GTX 1650 4GB/Shadow Black/2.25 kg), 15-ec0100AX",B08CYZM4Y3,56990,13/11
91,"ASUS VivoBook S14 Intel Core i5-1035G1 10th Gen 14-inch FHD Thin and Light Laptop (8GB RAM/512GB NVMe SSD + 32GB Optane Memory/Windows 10/MS Office 2019/Petal Pink/1.35 kg), S403JA-BM034TS",B08BPLQ5F4,62990,13/11
92,Dell G3 3500 Gaming 15.6inch 120hz FHD Display Laptop (10th Gen i7-10750H / 8 GB / 512 SSD / GTX 1650 4GB / 1Yr Premium Warranty/ Win 10 + MS Office H&S 2019) D560250WIN9BE,B08HYPRST4,85990,13/11
93,"Dell New Latitude 3410 14""---Core i3 10th Gen || 8GB || 1 TB || DOS-Ubantu || 1 Year ADP+NBD Dell Warranty || 14 "" Screen Size || Without Bag",B08KJ768JV,36950,13/11
94,"HP 14s cf3006tu 14-inch Laptop (Core i3-1005G1/4GB/1TB HDD/Windows 10 Home/Intel UHD Graphics), Natural Silver",B08CHWNVNH,39990,13/11
95,"HP 245 G7 AMD Ryzen 5 - 3500U 14 inch Laptop (8GB RAM/1TB HDD/Windows 10 /Radeon Vega 8 Graphics/NO ODD) 1S5F5PA (1.52kg,Dark ash Silver)",B08KQGQYRC,39990,13/11
96,"Lenovo Yoga Slim 7i 10th Gen Intel Core i5 14 inch Full HD IPS Thin and Light Laptop (8GB/512GB SSD/Windows 10/MS Office 2019/NVIDIA MX350 2GB GDDR5 Graphics/Slate Grey/1.55Kg), 82A1009LIN",B087D47QXB,73990,13/11
97,"HP Spectre x360 Core i5 10th Gen 13-inch FHD Touchscreen Laptop (8GB/512 GB SSD/Windows 10/MS Office 2019/Nightfall Black/1.27 kg), 13-aw0204TU",B082DZDGWM,102990,13/11
